sex,age,avg_income,avg_spend,avg_debt,avg_debt_credit,avg_credit_rat,vehicle_own_rat
2,79,19500000,570702,48000000,0,3,0
2,49,33613000,6640718,111749265,19687529,3,0.057971
1,54,42356000,4027369,99694794,31831548,3,0.065574
1,39,38283000,6288590,53420521,25788084,4,0.048387
1,24,25412000,2027705,6011518,6011518,4,0
1,74,24625000,5043299,83023896,0,3,0
2,59,33468000,4172906,59102042,23129810,3,0.016129
2,54,30654000,4857751,55119871,22564288,3,0.014493
2,39,30984000,6338913,33824607,14752550,4,0.066667
2,34,29975000,7007936,20329385,20193914,3,0.034483
2,24,21286000,2175937,8439784,5122404,4,0
1,49,50074000,7078138,89625440,44440456,4,0.037037
2,44,34885000,5454104,47495225,30960765,3,0.018868
1,44,43090000,7389441,56226033,18784526,3,0.023256
2,74,18600000,772731,212992445,3000000,4,0
2,64,27445000,3291599,121108481,22752057,3,0
2,29,25230000,4328295,55324532,12298830,3,0
1,64,37339000,3677110,64100635,9416468,3,0.034483
1,69,28579000,2386285,15302955,13623964,3,0.047619
1,29,29581000,4233472,19095998,15118312,5,0.078125
1,34,35661000,6884935,117517186,25182332,4,0.081633
2,69,20500000,2030030,4435171,5775166,3,0
1,59,47918000,4462515,149265167,26529279,3,0.016949
2,39,36455000,6009123,10780669,10113979,3,0
1,39,39106000,8224614,195291199,26801327,4,0.090909
2,49,41947000,3947120,139156501,13628592,3,0
2,44,32869000,9516570,342628583,16401108,3,0
1,54,49400000,3175058,145785938,41647917,4,0
1,44,65440000,44002055,177386458,64644700,3,0.214286
1,49,79696000,8318537,440791585,76312526,3,0.125
1,34,36057000,4638657,15446437,21842903,4,0
2,69,23618000,1888121,33292288,8697232,3,0
2,64,28110000,2568657,47741144,20305376,3,0
2,34,30471000,4924111,27000002,13590857,3,0.068493
1,59,44461000,4029644,98361900,26645437,4,0.083333
1,99,30015000,740609,58682298,37006912,4,0
1,29,28976000,4407824,45161070,23234005,4,0.025974
1,44,53436000,7210446,109642193,33621863,3,0.101852
2,54,29503000,5675600,44370446,15168657,4,0.040984
2,99,22917000,93636,30000000,0,4,0
1,24,23441000,1984150,34546129,9100783,4,0
1,34,34841000,4446137,33222566,27162489,4,0.081081
2,24,21007000,2280025,6768626,5468589,4,0
2,49,31948000,5312545,59518900,16318177,4,0.038168
1,64,34155000,3471460,102831113,17487740,3,0.0625
1,54,44651000,4598478,68909026,21961553,4,0.075342
1,74,36661000,2536121,56364488,23291946,3,0.015873
2,44,31199000,5304968,60360535,16730416,4,0.052632
2,59,29190000,3227533,62361717,16004916,4,0.032967
2,79,25499000,495404,90486667,17000000,4,0
2,29,25764000,4753809,29306731,16363467,4,0.024691
1,69,38684000,2260333,81146860,30139055,4,0.033898
2,39,34240000,6439219,50981762,17626275,4,0.028302
1,39,40880000,6205902,86436653,25769800,4,0.084034
1,79,28354000,2262504,78757747,30161554,3,0.025
1,49,43348000,5772219,95524058,24993023,4,0.085366
2,74,22481000,1355644,97106947,21389473,4,0
1,64,26000000,793213,17234874,0,4,0
2,44,39033000,5740923,109512009,34556986,3,0
1,54,46575000,4541226,24623386,19917449,6,0.066667
2,69,26500000,777516,0,0,4,0
2,74,19000000,246636,0,0,3,0
2,49,26857000,4634681,6632863,6424468,5,0.076923
1,49,50579000,4330713,54301836,7340419,5,0.166667
1,44,39149000,5205256,10200662,10406625,5,0
2,59,28300000,3030971,51137472,8500028,4,0
2,64,27111000,2163537,67773765,12537398,3,0
1,74,25250000,1420121,17479824,12549824,4,0
1,59,35167000,3344998,8221622,4221622,6,0
2,54,36200000,2359670,47924252,43078470,4,0
2,34,26750000,4896896,30519809,16381848,4,0
2,39,28036000,4507719,7921638,7479788,4,0
1,39,33280000,3727541,22257952,12971766,4,0.058824
1,49,61162000,7683413,133164819,32024077,3,0
1,54,59360000,4486895,61449721,52401489,5,0
1,39,39544000,9361689,23642597,28731886,2,0
2,54,36224000,3555262,58804052,15849127,3,0
2,49,35250000,2563999,8479323,8479323,4,0
1,29,26793000,3557904,61500000,61500000,3,0
2,39,34000000,2660193,31500000,0,3,0
1,59,39337000,5593864,66629250,21352762,4,0.111111
1,99,25000000,902140,27075000,25000000,3,0
1,64,33872000,3542822,211251588,24183770,4,0.026316
2,69,20900000,1507007,11797187,6066964,4,0
2,59,29507000,5237129,87303238,15488971,4,0.018868
1,44,46631000,8550955,58685080,26886383,5,0.191489
2,44,40169000,5002376,499901713,24276081,4,0
2,49,31001000,4522128,44993997,17145908,4,0
1,69,29320000,2224320,80322224,16039277,3,0
1,59,37174000,3090528,55512446,27889503,5,0
1,54,41552000,7116860,57094392,16251204,4,0.016949
1,79,26800000,1885078,39723841,0,3,0
1,34,36709000,4659734,63049972,14503746,5,0.073171
2,64,25820000,3177635,54058300,8361651,4,0
1,49,41016000,5748941,110622724,20000410,5,0.048387
2,54,33654000,5751805,47685349,28577727,4,0.034483
1,39,36204000,5603059,53813976,17951211,4,0.102564
2,79,20571000,1047762,37881258,6537446,4,0
1,24,22919000,1518937,21775334,6293333,4,0
2,29,26174000,5138674,76248823,12523422,3,0.037037
2,24,22222000,2165016,24607394,24607394,4,0
2,34,27904000,4646413,68986311,11080795,4,0
1,74,29251000,5907631,20735528,14500000,3,0
1,29,31026000,3560646,43505741,26372110,4,0.095238
2,39,30625000,6105147,28816256,22751164,4,0
2,99,21000000,192880,110000000,0,4,0
2,74,23250000,1208022,21330043,7911421,4,0
1,34,42177000,5944644,117279805,59675090,3,0.111111
1,59,123337000,7787608,692781920,64033233,3,0.111111
1,49,72582000,4315843,616289115,42106507,4,0.1
2,59,38237000,7513714,302689041,15019604,3,0
1,29,28379000,4214278,12984745,8821043,4,0.078431
2,34,31721000,5858905,36619615,34091457,4,0.027778
1,69,29093000,1683173,24495111,18012461,3,0.027778
1,39,35421000,4830969,70087992,30749893,5,0.076923
2,74,28867000,3244078,35742840,12783602,3,0
2,79,55700000,580638,287997436,10000000,3,0
2,59,35615000,4544547,70948453,14762164,3,0
1,79,79138000,3051190,293000000,33000000,3,0
2,29,28020000,4687314,17053296,13680365,4,0.027027
2,99,0,381404,27850000,53000000,4,0
2,24,21750000,2376829,8039535,8039535,4,0
1,54,43296000,7829960,170313860,28649322,4,0.090909
1,34,38507000,6092869,60613753,6852042,3,0.035714
1,44,39464000,6228789,76899176,32793792,4,0.059701
2,64,27000000,3216087,302007484,19536689,3,0.045455
2,24,15500000,1931372,0,0,4,0
1,74,28857000,3845405,51660651,7830006,2,0
1,24,23600000,2106135,65837393,42252190,4,0.017857
1,64,37606000,6556019,62008917,19219711,3,0
2,39,32733000,5252291,34689211,21396666,4,0.073171
2,49,30437000,5377555,39096273,22747270,3,0.053333
1,59,41954000,4868248,38375286,32338461,3,0.054054
1,49,42773000,6755485,178121633,19028301,4,0.056338
2,69,27832000,2627234,44583826,18417357,4,0.08
2,44,34121000,6694418,57785102,15391272,4,0.0625
2,54,33094000,6223052,113415257,18847989,4,0
1,69,36219000,4217465,100942003,53747504,3,0
2,24,21000000,2131871,487555,0,4,0
1,49,41666000,5723432,95627280,30228799,4,0.071429
1,59,58610000,4216642,140041881,43315765,2,0.034483
2,29,26939000,3921049,33618960,6178831,4,0
2,34,26000000,2084255,4618147,4618147,5,0
1,54,64653000,10561620,238341604,54363478,3,0.076923
2,64,32461000,6503395,541735352,20032955,3,0.043478
2,59,39538000,7980171,204535425,59324554,3,0
2,54,40871000,8158617,487232159,36589549,3,0.125
2,44,40667000,5981198,62808342,19158281,4,0.107143
2,69,33200000,4227329,44680809,8468016,3,0.166667
1,34,49994000,9651019,63192851,20933580,3,0.096774
1,64,60615000,17108142,136065405,31292931,3,0
1,54,38857000,3933015,15167254,13110179,6,0.111111
2,49,36263000,8558777,72002148,21197747,4,0.021277
2,39,30931000,4659232,45179822,15282625,3,0.029412
1,44,43743000,12479253,156038304,43149878,5,0.107143
1,29,29121000,3642588,56358982,21069709,4,0.03125
1,39,44946000,5449196,189397239,13564909,2,0
2,34,33605000,5151872,57649981,45179978,3,0.035714
1,24,23832000,1882448,9154517,9126856,4,0
2,34,29513000,5711859,24808053,13301493,4,0.018692
2,74,31464000,1563207,90238619,4162502,3,0.043478
1,49,47114000,5603721,173043483,25929171,5,0.064748
2,99,22000000,645184,95949873,424746,4,0
1,74,31500000,1983485,58298656,25711711,3,0.055556
1,44,50997000,6775812,59244477,25501442,5,0.034091
1,59,40357000,4372953,55895297,27329154,5,0.02381
1,39,38856000,6958223,64918709,27421299,5,0.090164
2,59,29297000,3271665,76069194,21182586,4,0.025
2,69,25280000,2058004,91328183,12640042,4,0.027027
2,44,31387000,5077580,47127654,18414707,4,0.034783
2,29,25632000,4828369,24602763,14767352,4,0.025478
1,64,33175000,2894473,25459142,14830917,5,0.04
1,24,23207000,2382993,14130834,4520687,4,0
2,64,65106000,3095245,96093866,21406318,3,0
2,49,31177000,6035038,67046832,17158960,4,0.015504
1,99,24800000,2165792,28000000,0,4,0
2,79,18333000,916615,5071134,5071134,4,0
1,79,29350000,1750173,43340715,34990281,3,0.090909
2,24,22339000,3013259,8745159,6832610,4,0
2,39,31427000,5192334,33866291,14618609,4,0.036364
1,34,35542000,5428396,58886606,24614449,4,0.068702
1,29,28977000,3937608,26009174,14933896,4,0.014706
1,54,50169000,4643362,115875044,23500993,5,0.025
2,54,30934000,4660901,73532326,17715362,4,0.008929
1,69,28956000,1669221,69905151,24266689,5,0
1,29,28933000,4327762,14236330,12559421,4,0.045455
1,39,36857000,4321051,91148960,15191055,5,0.058824
1,99,28000000,297104,11000000,11000000,4,0
2,24,19778000,2576628,10125935,5447090,5,0.043478
1,54,45212000,3965490,128537141,33699562,5,0.083333
1,79,30590000,681419,23483667,20975000,4,0
1,34,32139000,2856172,9194126,7912952,4,0
2,39,31304000,5324428,62619975,11278563,3,0
2,34,29857000,4460396,21881772,21881772,3,0.083333
2,49,32516000,4635779,48677289,22184086,3,0.068966
1,69,49690000,3047014,163023757,44316104,3,0.125
2,64,29274000,3049923,52391025,19957919,4,0.04878
1,64,38342000,3804152,127613130,37288432,4,0.081081
1,24,24000000,1727517,3173886,3173886,4,0
2,79,33341000,112096,133937667,24000000,4,0
2,69,30663000,1217039,43887582,40881373,4,0
1,74,36776000,1677024,73585282,46600266,3,0
2,99,23394000,24747,27666667,24000000,4,0
2,74,21928000,904331,48701814,5501814,4,0
1,59,46207000,4992998,166681767,31802763,4,0.1
2,54,33334000,4338647,74300201,22240050,3,0.047619
1,49,46505000,4246494,70930255,27040769,5,0.026316
1,44,43675000,4478503,84669931,31465463,5,0.035714
2,29,24250000,2738967,14038238,12084368,5,0.111111
2,44,31874000,4089192,180288621,49352206,4,0.033333
2,59,32268000,3525151,45270406,16663200,3,0.025641
2,69,19161000,4057348,37463959,11208354,4,0.076923
1,24,23901000,2235329,8651305,8612579,5,0
2,29,25561000,4878749,19230502,11094107,4,0.010526
1,34,34532000,5034699,41801314,17736239,5,0.06383
2,24,21367000,3197978,9270516,8615219,5,0.022222
1,54,42697000,5150175,123574353,23475067,5,0.028169
1,44,42257000,5953166,64971126,21338967,5,0.061728
2,49,30058000,5719912,42019140,19324651,4,0.018349
2,39,29938000,5125449,31517628,14101450,4,0.027778
1,49,45302000,5138554,89175365,21690450,6,0.043011
2,64,29703000,3749142,41211319,12106811,3,0.047619
1,64,33132000,3150429,46124003,13240997,4,0
1,59,46617000,5740424,118325292,22778837,4,0.018182
1,69,37256000,5075923,54750644,22199926,3,0
1,74,24167000,867453,6329206,6329206,3,0
2,34,29840000,4703459,38994742,16302574,4,0.038462
1,29,27593000,3866341,32334964,18831298,5,0.069767
2,44,32770000,4719878,63064332,16149321,5,0.027778
2,59,36738000,5199552,82485386,24180908,4,0.03125
2,54,33120000,9179300,79777964,25679191,4,0.084507
2,74,26000000,2142257,59369425,23312412,4,0
1,39,37703000,4065984,80902043,20231984,5,0.047619
1,49,43000000,7358638,197842648,36458778,3,0
1,34,38750000,5512970,80179189,22076216,2,0.058824
1,29,29973000,4398767,14627090,16461309,4,0.030303
2,59,31500000,2179845,138305635,18745760,3,0
2,29,26338000,5194253,25150553,25150553,2,0
2,24,23154000,3362024,6865012,1930025,4,0
2,99,24000000,476091,21000000,0,3,0
1,64,47716000,5179075,187789832,27937178,3,0.166667
1,24,25000000,2900392,4457479,4457479,4,0
1,79,23613000,1110654,40086898,50000000,3,0
2,99,22333000,0,12895953,0,4,0
2,79,19400000,322394,4414920,4414920,3,0
1,59,40692000,4862293,70428458,32465021,4,0.081633
2,69,21357000,1666747,22497710,4996696,3,0
1,24,25125000,1999510,8350127,10596528,4,0.013699
2,39,33167000,6941456,44244496,18663533,4,0.109589
2,54,31496000,4913276,48560756,15890864,3,0
2,44,31914000,6354332,72807416,17616653,3,0.041667
1,54,48399000,7306312,77434771,30732174,4,0.054795
2,59,32166000,4661001,52236204,27898361,3,0.017241
1,74,24333000,3387346,8546086,8245208,3,0
1,49,43927000,6267520,92106155,33622941,4,0.029851
1,69,34805000,2743133,94449346,30100976,4,0.035714
1,39,36881000,4784969,46212774,28838987,4,0.0625
2,29,25147000,3915640,14406218,12848493,4,0.020408
2,34,30790000,3842137,17485576,14889575,3,0.025641
1,44,43327000,8401754,78160138,33661202,4,0.039216
1,34,32861000,5108866,62441802,14970957,4,0.030303
2,64,27779000,2858162,79798800,16786590,4,0.020833
2,49,34213000,5584436,48787704,24814643,4,0
2,74,22600000,1151852,78372230,8911127,3,0
1,29,29201000,4236201,35791855,10019884,4,0.069767
2,24,20788000,2509550,2166671,0,4,0
1,64,34972000,3676659,85253043,16825274,4,0
1,29,29447000,4616087,18107308,22502345,4,0.15
1,39,34950000,6596290,141742077,16210372,5,0.025641
2,29,23500000,4082457,19104232,11290274,4,0.043478
2,39,29993000,6390319,15520743,15539833,4,0.076923
1,29,26516000,5021855,15471467,6010837,5,0.076923
2,49,31220000,4443117,85819028,22151092,4,0.075
2,79,18495000,321507,38228735,20035918,4,0
1,99,24928000,122648,47500000,25000000,4,0
2,29,24683000,3867741,45707001,19152799,3,0
1,44,38801000,6229788,79098552,28314169,5,0.037037
2,54,28130000,6464490,79023731,19400879,4,0.052632
1,24,22444000,2164425,12350422,13227705,4,0.029412
2,44,33500000,6940707,33259696,35444141,4,0.1
1,59,34167000,3683052,151310526,27201575,4,0.125
2,69,24083000,2407359,33595962,9688643,4,0
1,54,35347000,3175129,75077358,25049310,4,0.037736
2,99,21438000,223532,12909430,7661434,4,0
1,74,32397000,1730700,25292250,19418327,3,0
1,34,33568000,4421468,21589696,14142918,5,0.2
1,69,24230000,1852416,61892191,19796156,3,0.054054
1,64,29693000,3903055,69766571,25552420,4,0
1,49,39610000,4382881,214545396,36412670,5,0.052632
2,59,29421000,3480368,128989539,20186449,4,0
1,79,24351000,580388,63681562,15872734,4,0
2,34,26501000,5671606,11615634,6964141,4,0
2,64,26406000,2492964,214619433,17357686,4,0.058824
1,34,30446000,3982200,66754576,19376401,4,0.035714
2,74,24842000,549822,30741785,14366667,4,0.037037
2,24,20222000,4142286,3190882,3376324,5,0
2,49,36089000,6323832,75321191,30847018,3,0.046512
1,29,28659000,2967515,31370325,20256061,4,0.061224
1,59,44846000,4804253,72735029,40763999,4,0.078125
2,34,29353000,5418124,51080418,24988498,3,0.052632
2,64,26221000,4432959,184179864,9480911,3,0.022727
1,74,32601000,2433776,41350346,13665482,3,0.045455
2,99,22500000,204116,0,0,4,0
1,39,39237000,6956708,67814386,24008171,3,0.081081
2,44,34333000,5635408,60421289,28679314,3,0.019608
1,34,31969000,5191336,30430602,16380705,4,0.042553
2,54,35224000,7741566,90559626,21963314,3,0.018519
2,79,21345000,1230281,202000000,14000000,4,0
1,79,26000000,1191482,85459954,44500000,2,0
1,24,24379000,1802149,15474076,14224076,5,0
2,24,21673000,2498781,14685695,12057322,4,0
2,29,25090000,4700508,13245496,14960119,4,0.035714
2,69,26167000,1234249,29818190,7405647,3,0
1,99,30750000,2041803,23565246,12738483,3,0
1,44,46214000,8323216,81442267,31400636,3,0.089552
1,54,48577000,8278438,71147129,24813177,4,0.054054
2,39,32720000,6088308,48252663,22534667,3,0.028169
1,64,41323000,5609322,226289213,16043529,3,0.04878
2,59,34049000,3920506,116418612,36248051,3,0.044444
1,69,29750000,4000415,38918859,11249373,3,0.035714
1,49,43960000,7794756,128777636,27666447,4,0.121951
2,74,27250000,2504956,32821403,6619761,3,0
2,59,30784000,4785515,129857850,21856113,4,0.029851
1,69,33944000,2481479,123274611,24729287,3,0.083333
1,54,41714000,5110043,21642378,11242932,5,0.125
2,54,33217000,21555018,72618039,23222021,3,0
2,99,25184000,297518,26213954,23000000,4,0
1,99,25857000,321679,4668246,0,3,0
1,34,33784000,4672314,77723062,22594636,4,0.074074
2,24,21167000,2657772,11787516,7261200,5,0
2,74,21806000,1472137,128288836,14964198,4,0.054054
2,64,27899000,2099902,36429986,15930361,4,0.014286
1,49,41733000,5848406,192248883,23167666,4,0.085714
1,74,33661000,2192600,79329845,27535376,3,0.057143
2,34,27829000,5360317,14624855,11324985,4,0.074074
1,64,32815000,2923695,166375739,17063800,4,0.069767
1,24,23549000,2109817,6601997,6096309,5,0
1,59,32754000,7464898,239464479,21359920,6,0
1,29,28986000,5142743,65569346,35103076,4,0.162162
2,44,30618000,3674473,43728280,18210886,5,0.026316
2,49,31692000,5555558,103444486,20416849,4,0.046875
1,54,46437000,6931435,76506316,22421377,4,0.046875
1,44,40627000,7563098,91868899,30782821,5,0.092593
1,39,38092000,6698959,82571693,18807336,4,0.171429
2,39,31460000,6146855,102319793,21090710,4,0.083333
2,29,24227000,4158543,48860684,15539126,4,0
2,69,23623000,1147175,41946661,6801848,4,0
2,54,34616000,4331527,75353493,7840656,4,0
1,79,29429000,1114912,62615984,39004154,4,0
2,79,28416000,614131,32016865,6281736,4,0
1,59,39209000,4627089,79812101,22382408,4,0.070175
2,39,32684000,6346715,59779907,19506287,3,0.036145
1,54,44501000,5039195,111369442,26593948,4,0.070423
2,49,37850000,5374764,119688842,15779336,3,0.053191
2,44,33380000,6113601,74216900,20338291,4,0.05298
2,54,32697000,4697248,136434065,19037422,3,0.04
2,64,27845000,3171912,138360681,18296837,3,0.007143
1,79,28175000,1945678,59816684,22529995,4,0
2,79,23556000,353733,67434666,14281148,4,0
2,24,21101000,2058756,6911191,6462848,4,0
1,59,62328000,5445254,143071807,28247523,4,0.04
2,69,23798000,1745795,102293291,26063198,3,0.054795
2,34,29107000,5373036,27172699,18500811,4,0.0625
1,24,22861000,2084353,10082474,5785640,4,0
1,64,35694000,3142933,84330399,24180035,3,0.030864
1,39,38457000,6261471,76144018,24941365,4,0.089888
1,34,35210000,4726255,100388532,25099670,4,0.069231
2,74,23148000,1545310,32350943,18465256,4,0
2,99,22117000,154741,63869782,6226677,4,0
1,99,29190000,256320,78455936,17228324,4,0.011111
2,59,31274000,5013350,78412830,15107136,4,0.041096
1,49,50983000,6360965,133724528,28537684,4,0.054455
1,44,43250000,6826890,113143411,25343773,4,0.094241
1,69,34068000,4714077,65162647,26310171,3,0.011494
1,74,30944000,1366776,102569272,31632780,3,0.011905
1,29,28462000,3872597,35708837,13385477,4,0.083871
2,29,25025000,4018976,48700016,14853540,4,0.046154
2,74,36300000,645920,104115529,171647,4,0
1,44,55156000,6763724,396919837,40623487,5,0.093023
1,39,38369000,3993837,137323393,29541845,5,0.107143
1,24,24806000,2271233,20162924,12384827,5,0.083333
2,54,32957000,4729724,105321669,17028842,3,0.055556
1,34,33908000,4582769,43435552,12934901,5,0.043478
1,64,97098000,3485520,166406771,33443569,3,0.069444
2,44,38504000,5105861,77948812,29999556,4,0.114286
1,59,45833000,5117985,144124847,38030364,4,0.051282
2,59,32502000,2701989,132644459,40290701,3,0.013333
2,34,31468000,5973261,52584931,19721504,4,0.133333
1,29,30147000,3839154,99546161,18214538,4,0.058824
1,49,41642000,5229159,129198283,26281408,5,0.092593
2,49,35128000,3409258,94009878,21985314,4,0.029412
1,74,43351000,1599933,111198693,34251895,3,0
2,64,30206000,3563484,142658466,34255994,3,0.054545
2,69,33305000,2032810,93179389,23651842,3,0
1,99,34182000,216711,51836761,21142523,4,0
2,29,27680000,3306160,10877602,6567602,4,0
1,69,68495000,3442630,117779179,35701386,3,0
2,99,25538000,261431,34799706,19233330,4,0
2,39,34957000,4291729,46482505,21184651,4,0.028571
1,54,45972000,5613052,152874368,24939649,4,0.088235
2,79,24721000,464685,66905572,12530522,4,0
2,24,22923000,2694140,97916356,8697299,5,0
1,79,51860000,252614,75163142,29551683,4,0
2,69,25362000,1673931,47815940,7441357,4,0
2,24,22795000,2060328,13885514,14397729,4,0
1,44,42440000,9396760,96907295,29570981,4,0.06383
1,24,23364000,1889778,83104162,1500000,4,0
1,99,34998000,472838,28000000,28000000,3,0
1,54,44890000,5324990,45397499,25327419,5,0.016393
2,79,25333000,2382686,11104385,11104385,4,0
2,74,27333000,716363,67720,67720,3,0
1,69,30597000,5965686,18580702,13605908,4,0.076923
2,29,25806000,4063755,8482379,8846872,3,0.023256
1,29,27710000,3497009,28294827,6776058,5,0.044444
2,54,30912000,4218389,44179074,16730608,4,0.039216
1,39,43301000,5473109,80692653,18420140,4,0.056604
2,34,29292000,5327922,44953330,10606068,3,0.026316
1,64,32098000,3637194,52858587,25250816,3,0.040816
2,64,29852000,2798892,27669875,10536977,3,0
2,44,33988000,6464405,85010204,19885513,4,0.017544
1,34,33522000,4275178,37092517,19610720,5,0.025641
1,74,26218000,1532295,215679075,32244324,3,0.045455
2,39,33990000,9030050,27553422,19971016,4,0.021739
1,49,39064000,6413302,99731699,20156299,5,0.064516
1,59,38516000,3810305,53484298,13959167,4,0.015385
2,99,22000000,135966,26041704,0,4,0
1,79,29833000,1522003,119471948,7520563,3,0
2,49,33510000,5377906,63328784,25233452,3,0
2,59,33707000,4302414,84921274,32780276,3,0.016129
2,49,34441000,6825776,93281319,23991682,3,0.071429
2,24,20429000,2018964,8078305,8078305,4,0
1,24,24636000,1811906,10208888,9094726,4,0
2,79,29500000,942354,0,0,3,0
1,49,40302000,5780885,94770246,26368411,4,0.104167
1,74,31721000,1896161,112964202,36750221,3,0
2,99,22000000,596668,35300000,15450000,4,0
2,54,29883000,4643830,81529801,14401240,3,0.023256
2,59,30824000,4863234,34729752,29056629,3,0
2,69,24625000,3214842,56762586,21453754,3,0.038462
1,54,42643000,5245818,71804891,26655583,5,0.05
1,44,38521000,5718638,125538165,29297514,4,0.117647
1,39,40106000,7011839,78861311,26997001,3,0.073171
1,79,31228000,1544533,34092384,11095718,2,0
1,69,31991000,3065938,97444751,21941932,3,0.035714
1,64,35138000,3630178,58826446,14019906,4,0.029412
